Time,Device name设备名称,Acceleration X(g),Acceleration Y(g),Acceleration Z(g),Angular velocity X(°/s),Angular velocity Y(°/s),Angular velocity Z(°/s),Angle X(°),Angle Y(°),Angle Z(°),Magnetic field X(ʯt),Magnetic field Y(ʯt),Magnetic field Z(ʯt),Temperature(℃),Quaternions 0(),Quaternions 1(),Quaternions 2(),Quaternions 3()
 14:50:07.533,WT901BLE68(d8:09:5a:ca:b6:e0), 0.92, 0.898, 0.998, 0.366, -1.343, -1.526, 121.646, -9.932, -90.483, -55.762, 39.690, 45.178, 30.14, 0.70258, 0.07791, -0.41113, -0.57547,
 14:50:07.535,WT901BLE68(cc:c4:7a:a1:fe:ea), 0.979, -0.101, 0.146, 0, 0.977, 0.244, -35.09, -79.937, -142.844, -13.132, -37.828, 0.294, 31.38, -0.05573, 0.66525, -0.02762, 0.74396,
 14:50:07.537,WT901BLE68(d8:09:5a:ca:b6:e0), 0.918, 0.906, 0.995, 1.587, -0.305, -2.258, 121.855, -10.107, -90.703, -55.762, 39.690, 45.178, 30.14, 0.70258, 0.07791, -0.41113, -0.57547,
 14:50:07.544,WT901BLE68(d8:09:5a:ca:b6:e0), 0.922, 0.908, 0.995, 1.831, -0.061, -3.479, 122.151, -10.135, -90.945, -55.762, 39.690, 45.178, 30.14, 0.70258, 0.07791, -0.41113, -0.57547,
 14:50:07.548,WT901BLE68(d8:09:5a:ca:b6:e0), 0.922, 0.911, 0.999, -2.991, -0.61, -4.089, 122.371, -10.091, -91.214, -55.762, 39.690, 45.178, 30.14, 0.70258, 0.07791, -0.41113, -0.57547,
 14:50:07.556,WT901BLE68(d8:09:5a:ca:b6:e0), 0.921, 0.921, 0.997, 0.305, 0.366, -1.648, 122.382, -10.14, -91.456, -55.762, 39.690, 45.178, 30.14, 0.70258, 0.07791, -0.41113, -0.57547,
 14:50:07.567,WT901BLE68(d8:09:5a:ca:b6:e0), 0.924, 0.923, 0.995, 1.404, 0.427, -3.296, 122.574, -10.162, -91.626, -55.762, 39.690, 45.178, 30.14, 0.70258, 0.07791, -0.41113, -0.57547,
 14:50:07.652,WT901BLE68(cc:c4:7a:a1:fe:ea), 0.981, -0.1, 0.145, 0, 0.916, -1.221, -34.722, -79.882, -143.212, -12.446, -37.828, 0.000, 31.38, -0.04834, 0.65329, -0.02322, 0.75513,
 14:50:07.678,WT901BLE68(d8:09:5a:ca:b6:e0), 0.923, 0.938, 0.996, 0.244, 0.549, -2.625, 122.756, -10.118, -91.818, -55.762, 39.690, 45.178, 30.14, 0.70258, 0.07791, -0.41113, -0.57547,
 14:50:07.741,WT901BLE68(cc:c4:7a:a1:fe:ea), 0.976, -0.093, 0.147, -0.671, 1.465, -2.258, -33.497, -79.909, -144.487, -12.446, -37.828, 0.000, 31.38, -0.04834, 0.65329, -0.02322, 0.75513,
 14:50:07.798,WT901BLE68(d8:09:5a:ca:b6:e0), 0.923, 0.93, 0.996, -0.183, -0.183, -0.916, 122.8, -10.239, -91.868, -55.762, 39.690, 45.178, 30.14, 0.70258, 0.07791, -0.41113, -0.57547,
 14:50:07.863,WT901BLE68(cc:c4:7a:a1:fe:ea), 0.978, -0.093, 0.155, 0, 1.404, 2.441, -33.14, -79.761, -144.844, -12.446, -37.828, 0.000, 31.38, -0.04834, 0.65329, -0.02322, 0.75513,
 14:50:07.919,WT901BLE68(d8:09:5a:ca:b6:e0), 0.922, 0.933, 0.997, -0.488, 0.488, 0, 122.767, -10.382, -91.829, -55.762, 39.690, 45.178, 30.14, 0.70258, 0.07791, -0.41113, -0.57547,
 14:50:07.921,WT901BLE68(cc:c4:7a:a1:fe:ea), 0.975, -0.1, 0.15, -0.061, 0.366, 0.244, -33.75, -79.629, -144.207, -12.446, -37.828, 0.000, 31.38, -0.04834, 0.65329, -0.02322, 0.75513,
 14:50:07.949,WT901BLE68(d8:09:5a:ca:b6:e0), 0.92, 0.932, 0.999, -0.244, 0.061, 1.16, 122.701, -10.558, -91.73, -55.762, 39.690, 45.178, 30.14, 0.70258, 0.07791, -0.41113, -0.57547,
 14:50:08.043,WT901BLE68(cc:c4:7a:a1:fe:ea), 0.982, -0.096, 0.152, 0.549, 0, -0.061, -33.426, -79.645, -144.509, -12.446, -37.828, 0.000, 31.38, -0.04834, 0.65329, -0.02322, 0.75513,
 14:50:08.073,WT901BLE68(d8:09:5a:ca:b6:e0), 0.92, 0.927, 0.998, -0.61, -1.404, 1.953, 122.613, -10.871, -91.609, -55.762, 39.690, 45.178, 30.14, 0.70258, 0.07791, -0.41113, -0.57547,
 14:50:08.160,WT901BLE68(d8:09:5a:ca:b6:e0), 0.92, 0.926, 0.995, -0.305, -1.465, -0.427, 122.629, -11.146, -91.642, -55.762, 39.690, 45.178, 30.14, 0.70258, 0.07791, -0.41113, -0.57547,
 14:50:08.163,WT901BLE68(cc:c4:7a:a1:fe:ea), 0.98, -0.103, 0.148, 0, 0.244, -0.244, -33.431, -79.601, -144.421, -12.348, -37.926, 0.098, 31.38, -0.04834, 0.65329, -0.02322, 0.75513,
 14:50:08.253,WT901BLE68(cc:c4:7a:a1:fe:ea), 0.978, -0.094, 0.15, -0.244, 0.61, -1.648, -32.552, -79.656, -145.333, -12.348, -37.926, 0.098, 31.38, -0.04776, 0.65036, -0.02222, 0.75772,
 14:50:08.277,WT901BLE68(d8:09:5a:ca:b6:e0), 0.925, 0.927, 0.994, -0.793, 0.977, -1.953, 122.646, -11.212, -91.719, -55.762, 39.690, 45.178, 30.14, 0.70258, 0.07791, -0.41113, -0.57547,
 14:50:08.342,WT901BLE68(cc:c4:7a:a1:fe:ea), 0.979, -0.094, 0.155, -0.061, 0.977, 0.183, -32.042, -79.585, -145.871, -12.348, -37.926, 0.098, 31.38, -0.04776, 0.65036, -0.02222, 0.75772,
 14:50:08.370,WT901BLE68(d8:09:5a:ca:b6:e0), 0.923, 0.935, 0.998, -1.404, 1.709, -3.662, 122.602, -11.041, -91.813, -55.762, 39.690, 45.178, 30.14, 0.70258, 0.07791, -0.41113, -0.57547,
 14:50:08.463,WT901BLE68(cc:c4:7a:a1:fe:ea), 0.979, -0.097, 0.155, -0.305, 1.953, -0.549, -31.707, -79.475, -146.201, -12.348, -37.926, 0.098, 31.38, -0.04776, 0.65036, -0.02222, 0.75772,
 14:50:08.489,WT901BLE68(d8:09:5a:ca:b6:e0), 0.925, 0.939, 1.002, -1.16, 0.488, -3.357, 122.574, -10.871, -91.956, -55.762, 39.690, 45.178, 30.14, 0.70258, 0.07791, -0.41113, -0.57547,
 14:50:08.522,WT901BLE68(cc:c4:7a:a1:fe:ea), 0.981, -0.092, 0.159, -0.793, -0.854, -7.019, -29.839, -79.645, -148.184, -12.348, -37.926, 0.098, 31.38, -0.04776, 0.65036, -0.02222, 0.75772,
 14:50:08.578,WT901BLE68(d8:09:5a:ca:b6:e0), 0.923, 0.949, 0.999, -0.488, -3.906, -0.977, 122.69, -11.052, -92.291, -55.762, 39.690, 45.178, 30.14, 0.70258, 0.07791, -0.41113, -0.57547,
 14:50:08.642,WT901BLE68(cc:c4:7a:a1:fe:ea), 0.986, -0.07, 0.158, -1.953, 0.916, -12.146, -25.241, -80.085, -152.963, -12.348, -37.926, 0.098, 31.38, -0.04776, 0.65036, -0.02222, 0.75772,
 14:50:08.699,WT901BLE68(d8:09:5a:ca:b6:e0), 0.918, 0.944, 0.984, 0.793, -6.226, -1.953, 123.069, -11.508, -92.84, -55.762, 39.690, 45.178, 30.14, 0.70258, 0.07791, -0.41113, -0.57547,
 14:50:08.732,WT901BLE68(cc:c4:7a:a1:fe:ea), 1.043, -0.047, 0.158, -1.282, -1.77, -15.625, -18.182, -80.568, -160.285, -12.348, -37.926, 0.098, 31.38, -0.04776, 0.65036, -0.02222, 0.75772,
 14:50:08.761,WT901BLE68(d8:09:5a:ca:b6:e0), 0.923, 0.944, 0.974, 2.197, -4.7, -5.615, 123.657, -11.728, -93.571, -55.762, 39.690, 45.178, 30.14, 0.70258, 0.07791, -0.41113, -0.57547,
 14:50:08.852,WT901BLE68(cc:c4:7a:a1:fe:ea), 1.156, -0.044, 0.169, 36.438, -3.601, -27.466, -6.174, -81.151, -171.008, -9.898, -38.514, 0.000, 31.38, -0.04776, 0.65036, -0.02222, 0.75772,
 14:50:08.878,WT901BLE68(d8:09:5a:ca:b6:e0), 0.928, 0.963, 0.972, 3.296, -3.174, -7.629, 124.387, -11.552, -94.268, -55.762, 39.690, 45.178, 30.14, 0.70258, 0.07791, -0.41113, -0.57547,
 14:50:08.942,WT901BLE68(cc:c4:7a:a1:fe:ea), 0.81, -0.036, 0.002, -25.818, -21.362, -51.819, 19.583, -81.486, 164.905, -9.898, -38.514, 0.000, 31.38, -0.0192, 0.65262, 0.03928, 0.75635,
 14:50:08.968,WT901BLE68(d8:09:5a:ca:b6:e0), 0.917, 0.972, 0.964, 3.357, -3.601, -3.052, 125.03, -11.64, -94.889, -55.762, 39.690, 45.178, 30.14, 0.70258, 0.07791, -0.41113, -0.57547,
 14:50:09.062,WT901BLE68(cc:c4:7a:a1:fe:ea), 1.011, -0.538, 0.106, -63.049, -16.113, 26.611, 32.009, -81.985, 147.332, -9.898, -38.514, 0.000, 31.38, -0.0192, 0.65262, 0.03928, 0.75635,
 14:50:09.090,WT901BLE68(d8:09:5a:ca:b6:e0), 0.921, 0.958, 0.957, -3.906, 5.127, 1.465, 124.629, -11.613, -94.515, -56.938, 39.298, 45.276, 30.14, 0.70258, 0.07791, -0.41113, -0.57547,
 14:50:09.152,WT901BLE68(cc:c4:7a:a1:fe:ea), 1.129, -0.276, 0.081, -9.949, -19.226, 73.059, -31.459, -83.936, -152.595, -9.898, -38.514, 0.000, 31.38, -0.0192, 0.65262, 0.03928, 0.75635,
 14:50:09.208,WT901BLE68(d8:09:5a:ca:b6:e0), 0.922, 0.997, 1.006, -2.686, 9.949, -10.681, 123.75, -10.432, -93.966, -56.938, 39.298, 45.276, 30.14, 0.68201, 0.06693, -0.43149, -0.58658,
 14:50:09.271,WT901BLE68(cc:c4:7a:a1:fe:ea), 1.013, -0.014, 0.072, 17.578, -22.156, 97.595, -77.377, -77.245, -105.101, -9.898, -38.514, 0.000, 31.38, -0.0192, 0.65262, 0.03928, 0.75635,
 14:50:09.299,WT901BLE68(d8:09:5a:ca:b6:e0), 0.919, 1.013, 0.998, 4.578, -2.869, 0.061, 123.97, -9.877, -94.158, -56.938, 39.298, 45.276, 30.14, 0.68201, 0.06693, -0.43149, -0.58658,
 14:50:09.333,WT901BLE68(cc:c4:7a:a1:fe:ea), 0.915, 0.175, 0.027, -0.977, -11.841, 48.767, -84.611, -71.543, -96.592, -9.898, -38.514, 0.000, 31.38, -0.0192, 0.65262, 0.03928, 0.75635,
 14:50:09.357,WT901BLE68(d8:09:5a:ca:b6:e0), 0.911, 0.99, 0.978, 0.244, -12.39, -1.038, 124.568, -10.519, -94.741, -56.938, 39.298, 45.276, 30.14, 0.68201, 0.06693, -0.43149, -0.58658,
 14:50:09.453,WT901BLE68(cc:c4:7a:a1:fe:ea), 0.937, -0.066, 0.037, 12.634, -1.404, -6.592, -85.413, -70.768, -94.779, -22.050, -30.478, -0.784, 31.38, -0.0192, 0.65262, 0.03928, 0.75635,
 14:50:09.479,WT901BLE68(d8:09:5a:ca:b6:e0), 0.927, 1.008, 0.942, -0.977, -13.855, -3.418, 125.134, -11.376, -96.015, -56.938, 39.298, 45.276, 30.14, 0.68201, 0.06693, -0.43149, -0.58658,
 14:50:09.544,WT901BLE68(cc:c4:7a:a1:fe:ea), 0.949, -0.229, 0.013, 7.141, 0.549, -6.653, -84.853, -72.642, -94.422, -22.050, -30.478, -0.784, 31.38, -0.0192, 0.65262, 0.03928, 0.75635,
 14:50:09.570,WT901BLE68(d8:09:5a:ca:b6:e0), 0.932, 1.006, 0.939, -5.493, -19.47, -2.075, 125.826, -12.371, -97.482, -56.938, 39.298, 45.276, 30.14, 0.68201, 0.06693, -0.43149, -0.58658,
 14:50:09.662,WT901BLE68(cc:c4:7a:a1:fe:ea), 1.002, -0.202, 0.019, -4.333, -5.371, -14.709, -85.831, -74.059, -93.917, -22.050, -30.478, -0.784, 31.38, -0.0192, 0.65262, 0.03928, 0.75635,
 14:50:09.690,WT901BLE68(d8:09:5a:ca:b6:e0), 0.939, 1.014, 0.901, -9.399, -23.376, -2.563, 126.211, -13.645, -99.305, -52.234, 37.926, 46.060, 30.14, 0.68201, 0.06693, -0.43149, -0.58658,
 14:50:09.752,WT901BLE68(cc:c4:7a:a1:fe:ea), 1.076, -0.356, 0.023, 35.706, -7.019, -23.254, -85.029, -76.366, -92.906, -22.050, -30.478, -0.784, 31.38, -0.0192, 0.65262, 0.03928, 0.75635,
 14:50:09.780,WT901BLE68(d8:09:5a:ca:b6:e0), 1.047, 1.015, 0.857, -3.54, -28.503, 3.479, 126.953, -15.485, -101.283, -52.234, 37.926, 46.060, 30.14, 0.64459, 0.01465, -0.48102, -0.59396,
 14:50:09.871,WT901BLE68(cc:c4:7a:a1:fe:ea), 0.996, 0.001, 0, 8.545, 52.612, -101.379, -64.545, -81.898, -112.011, -22.050, -30.478, -0.784, 31.38, -0.0192, 0.65262, 0.03928, 0.75635,
 14:50:09.898,WT901BLE68(d8:09:5a:ca:b6:e0), 1.054, 1.056, 0.854, 2.502, -51.636, 18.555, 128.617, -18.479, -103.881, -52.234, 37.926, 46.060, 30.14, 0.64459, 0.01465, -0.48102, -0.59396,
 14:50:09.935,WT901BLE68(cc:c4:7a:a1:fe:ea), 0.961, -0.018, 0.069, -6.287, -15.625, -31.799, -29.103, -85.292, -148.118, -22.050, -30.478, -0.784, 31.38, -0.0192, 0.65262, 0.03928, 0.75635,
 14:50:09.991,WT901BLE68(d8:09:5a:ca:b6:e0), 1.206, 0.877, 0.792, 22.217, -96.008, 17.212, 133.412, -24.796, -108.869, -52.234, 37.926, 46.060, 30.14, 0.64459, 0.01465, -0.48102, -0.59396,
 14:50:10.051,WT901BLE68(cc:c4:7a:a1:fe:ea), 1.019, 0.01, 0.124, 4.761, -19.47, -11.292, -10.003, -87.303, -167.399, -12.250, -34.594, 0.098, 31.38, -0.0192, 0.65262, 0.03928, 0.75635,
 14:50:10.108,WT901BLE68(d8:09:5a:ca:b6:e0), 0.632, 1.097, 0.552, 6.042, -142.639, -8.301, 144.706, -30.641, -122.953, -52.234, 37.926, 46.060, 30.14, 0.64459, 0.01465, -0.48102, -0.59396,
 14:50:10.143,WT901BLE68(cc:c4:7a:a1:fe:ea), 0.962, 0.006, -0.054, 1.709, -18.921, -13.489, 79.838, -89.775, 103.48, -12.250, -34.594, 0.098, 31.38, -0.0192, 0.65262, 0.03928, 0.75635,
 14:50:10.168,WT901BLE68(d8:09:5a:ca:b6:e0), 0.644, 0.928, 1.221, 72.571, -25.696, -8.118, 159.857, -32.585, -136.285, -52.234, 37.926, 46.060, 30.14, 0.64459, 0.01465, -0.48102, -0.59396,
 14:50:10.262,WT901BLE68(cc:c4:7a:a1:fe:ea), 0.986, 0.07, 0.097, -17.7, 19.165, -29.785, 76.042, -86.913, 106.111, -12.250, -34.594, 0.098, 31.38, -0.0192, 0.65262, 0.03928, 0.75635,
 14:50:10.288,WT901BLE68(d8:09:5a:ca:b6:e0), 1.051, 1.018, 1.052, 25.024, 124.512, 10.071, 154.243, -31.421, -123.448, -37.044, 43.708, 41.552, 30.14, 0.64459, 0.01465, -0.48102, -0.59396,
 14:50:10.353,WT901BLE68(cc:c4:7a:a1:fe:ea), 0.993, 0.099, 0.009, -10.071, -0.793, -7.446, 74.009, -85.182, 106.611, -12.250, -34.594, 0.098, 31.38, -0.0192, 0.65262, 0.03928, 0.75635,
 14:50:10.379,WT901BLE68(d8:09:5a:ca:b6:e0), 1.244, 1.135, 0.681, -8.179, 187.012, -20.691, 135.176, -22.769, -99.915, -37.044, 43.708, 41.552, 30.14, 0.64459, 0.01465, -0.48102, -0.59396,
 14:50:10.473,WT901BLE68(cc:c4:7a:a1:fe:ea), 0.99, 0.098, 0.006, 3.601, -7.568, -7.019, 79.063, -85.007, 101.349, -12.250, -34.594, 0.098, 31.38, -0.0192, 0.65262, 0.03928, 0.75635,
 14:50:10.500,WT901BLE68(d8:09:5a:ca:b6:e0), 1.083, 0.895, 0.662, -5.371, 137.451, -45.41, 127.046, -9.102, -86.44, -37.044, 43.708, 41.552, 30.14, 0.68604, 0.0625, -0.50272, -0.52213,
 14:50:10.534,WT901BLE68(cc:c4:7a:a1:fe:ea), 0.98, 0.122, -0.021, -6.348, -0.61, -21.362, 86.127, -83.771, 94.098, -12.250, -34.594, 0.098, 31.38, -0.0192, 0.65262, 0.03928, 0.75635,
 14:50:10.589,WT901BLE68(d8:09:5a:ca:b6:e0), 1.019, 0.747, 0.559, 8.301, 103.516, -25.818, 123.975, 0.758, -80.502, -37.044, 43.708, 41.552, 30.14, 0.68604, 0.0625, -0.50272, -0.52213,
 14:50:10.682,WT901BLE68(cc:c4:7a:a1:fe:ea), 1.036, 0.155, 0.03, 11.169, -8.423, -25.574, 88.753, -81.442, 91.417, -6.272, -35.574, -0.196, 31.38, -0.0192, 0.65262, 0.03928, 0.75635,
 14:50:10.712,WT901BLE68(d8:09:5a:ca:b6:e0), 0.977, 0.782, 0.333, -31.677, 29.175, -17.7, 121.608, 4.73, -77.964, -37.044, 43.708, 41.552, 30.14, 0.68604, 0.0625, -0.50272, -0.52213,
 14:50:10.745,WT901BLE68(cc:c4:7a:a1:fe:ea), 1.095, 0.195, -0.04, 5.859, -8.362, -41.565, 95.702, -78.36, 85.534, -6.272, -35.574, -0.196, 31.38, 0.05817, 0.70859, 0.07074, 0.69958,
 14:50:10.770,WT901BLE68(d8:09:5a:ca:b6:e0), 0.931, 0.98, 1.307, -11.047, -58.167, 23.682, 121.602, 0.928, -80.376, -37.044, 43.708, 41.552, 30.14, 0.68604, 0.0625, -0.50272, -0.52213,
 14:50:10.861,WT901BLE68(cc:c4:7a:a1:fe:ea), 1.282, 0.188, -0.005, 10.071, -5.798, -56.946, 97.097, -74.147, 84.254, -6.272, -35.574, -0.196, 31.38, 0.05817, 0.70859, 0.07074, 0.69958,
 14:50:10.919,WT901BLE68(d8:09:5a:ca:b6:e0), 0.906, 0.939, 1.092, -11.23, -76.66, 2.808, 122.212, -6.592, -84.836, -52.234, 37.436, 43.708, 30.14, 0.68604, 0.0625, -0.50272, -0.52213,
 14:50:10.951,WT901BLE68(cc:c4:7a:a1:fe:ea), 1.467, 0.153, 0.05, -8.789, -15.015, -120.3, 96.372, -66.154, 85.798, -6.272, -35.574, -0.196, 31.38, 0.05817, 0.70859, 0.07074, 0.69958,
 14:50:10.980,WT901BLE68(d8:09:5a:ca:b6:e0), 0.943, 0.964, 0.965, -9.155, -53.894, 0.854, 123.772, -11.552, -90.247, -52.234, 37.436, 43.708, 30.14, 0.68604, 0.0625, -0.50272, -0.52213,
 14:50:11.072,WT901BLE68(cc:c4:7a:a1:fe:ea), 0.283, 0.328, -0.246, -1.343, 32.288, -221.313, 93.708, -49.548, 87.66, -6.272, -35.574, -0.196, 31.38, 0.05817, 0.70859, 0.07074, 0.69958,
 14:50:11.099,WT901BLE68(d8:09:5a:ca:b6:e0), 0.942, 0.993, 0.953, 5.859, -18.372, -5.615, 125.843, -13.348, -93.472, -52.234, 37.436, 43.708, 30.14, 0.68747, 0.06097, -0.45593, -0.56186,
 14:50:11.163,WT901BLE68(cc:c4:7a:a1:fe:ea), 0.653, -0.396, -0.017, -105.774, -7.385, 88.44, 86.748, -45.593, 87.77, -6.272, -35.574, -0.196, 31.38, 0.05817, 0.70859, 0.07074, 0.69958,
