,Elapsed Time(s)Min,Elapsed Time(s)Max,Elapsed Time(s)Std,Elapsed Time(s)Med,Elapsed Time(s)Avg,Elapsed Time(s)Skewness,Elapsed Time(s)Kurtosis,Left Stride Interval(s)Min,Left Stride Interval(s)Max,Left Stride Interval(s)Std,Left Stride Interval(s)Med,Left Stride Interval(s)Avg,Left Stride Interval(s)Skewness,Left Stride Interval(s)Kurtosis,Right Stride Interval(s)Min,Right Stride Interval(s)Max,Right Stride Interval(s)Std,Right Stride Interval(s)Med,Right Stride Interval(s)Avg,Right Stride Interval(s)Skewness,Right Stride Interval(s)Kurtosis,Left Swing Interval(s)Min,Left Swing Interval(s)Max,Left Swing Interval(s)Std,Left Swing Interval(s)Med,Left Swing Interval(s)Avg,Left Swing Interval(s)Skewness,Left Swing Interval(s)Kurtosis,Right Swing Interval(s)Min,Right Swing Interval(s)Max,Right Swing Interval(s)Std,Right Swing Interval(s)Med,Right Swing Interval(s)Avg,Right Swing Interval(s)Skewness,Right Swing Interval(s)Kurtosis,Left Swing Interval(%)Min,Left Swing Interval(%)Max,Left Swing Interval(%)Std,Left Swing Interval(%)Med,Left Swing Interval(%)Avg,Left Swing Interval(%)Skewness,Left Swing Interval(%)Kurtosis,Right Swing Interval(%)Min,Right Swing Interval(%)Max,Right Swing Interval(%)Std,Right Swing Interval(%)Med,Right Swing Interval(%)Avg,Right Swing Interval(%)Skewness,Right Swing Interval(%)Kurtosis,Left Stance Interval(s)Min,Left Stance Interval(s)Max,Left Stance Interval(s)Std,Left Stance Interval(s)Med,Left Stance Interval(s)Avg,Left Stance Interval(s)Skewness,Left Stance Interval(s)Kurtosis,Right Stance Interval(s)Min,Right Stance Interval(s)Max,Right Stance Interval(s)Std,Right Stance Interval(s)Med,Right Stance Interval(s)Avg,Right Stance Interval(s)Skewness,Right Stance Interval(s)Kurtosis,Left Stance Interval(%)Min,Left Stance Interval(%)Max,Left Stance Interval(%)Std,Left Stance Interval(%)Med,Left Stance Interval(%)Avg,Left Stance Interval(%)Skewness,Left Stance Interval(%)Kurtosis,Right Stance Interval(%)Min,Right Stance Interval(%)Max,Right Stance Interval(%)Std,Right Stance Interval(%)Med,Right Stance Interval(%)Avg,Right Stance Interval(%)Skewness,Right Stance Interval(%)Kurtosis,Double Support Interval(s)Min,Double Support Interval(s)Max,Double Support Interval(s)Std,Double Support Interval(s)Med,Double Support Interval(s)Avg,Double Support Interval(s)Skewness,Double Support Interval(s)Kurtosis,Double Support Interval(%)Min,Double Support Interval(%)Max,Double Support Interval(%)Std,Double Support Interval(%)Med,Double Support Interval(%)Avg,Double Support Interval(%)Skewness,Double Support Interval(%)Kurtosis
0,21.93,298.6,80.5414747299724,159.6367,159.67687335907337,0.007790548852687844,-1.205423414248218,0.9633,1.3967,0.04089502653203102,1.0667,1.0723405405405408,2.4915801791266685,15.355040251623219,1.0,1.3533,0.03779604874546025,1.0633,1.0723799227799227,2.469243773793824,12.4819631307228,0.23,0.4,0.022699653149118815,0.35,0.3471189189189189,-1.1737177525963032,4.700091682412203,0.2867,0.4867,0.020214820940671334,0.3833,0.3811822393822394,-0.24266652136404354,4.378217741286045,21.56,36.57,2.070095643052917,32.5,32.389266409266405,-1.4025230653346747,4.744707691724477,26.22,40.56,1.6035586239340565,35.96,35.55374517374518,-1.595025701933934,5.213125231562213,0.6433,1.04,0.04039166873398202,0.72,0.725223166023166,2.6076670696327073,14.990987575910367,0.6333,0.8667,0.032034031571339834,0.6833,0.6911972972972974,1.8500302996258515,5.322960534316691,63.43,78.44,2.0700956430529165,67.5,67.61073359073359,1.402523065334685,4.7447076917244955,59.44,73.78,1.6035586239340558,64.04,64.44625482625483,1.5950257019339202,5.213125231562188,0.2767,0.5533,0.035339034176190234,0.34,0.34404247104247104,1.8466429138731442,7.133888331079238,26.69,46.03,2.5825139839211415,31.83,32.048185328185326,1.657463461959068,6.6285745465562265
1,22.06,298.75,80.30162425357496,159.9233,160.0349599277978,0.0034712708552713987,-1.199674859224672,0.93,1.3533,0.041952478104237,0.9933,1.0024779783393503,4.609693011156461,32.51926672893888,0.9433,1.2767,0.03946947044503285,0.9933,1.0023588447653429,3.391912404425096,16.357987500990077,0.1967,0.4267,0.016638637051263075,0.3733,0.37306714801444046,-4.283909401152895,45.76957419485322,0.2833,0.4967,0.015713070787565796,0.3633,0.36315559566787003,2.48957773193395,21.885557836861654,20.34,39.93,1.6854602849378437,37.37,37.24862815884477,-6.630906621825722,58.96225989474578,29.11,38.9,1.001437605268473,36.36,36.23740072202166,-1.8980450454234754,9.900317073588045,0.5833,1.0533,0.04014161717526994,0.62,0.6294079422382671,6.297348791598376,54.99931906040592,0.5967,0.8333,0.02921058707773324,0.6333,0.6392028880866426,2.899023689005576,12.395955167929367,60.07,79.66,1.6854602849378437,62.63,62.751371841155226,6.630906621825732,58.962259894745856,61.1,70.89,1.001437605268473,63.64,63.76259927797833,1.8980450454234974,9.90031707358811,0.2333,0.6333,0.03132698733118555,0.26,0.26625740072202164,6.941808461739563,70.5164276031479,23.18,46.8,1.989210304659582,26.17,26.510577617328522,5.874843594419569,51.10793108613491
2,21.61,299.0567,80.42359105888701,160.76,160.2750182156134,-0.002409367629268166,-1.2020743478685179,0.9667,1.3767,0.03687660719613086,1.03,1.0353156133828996,3.8495622482494536,28.60256875086356,0.96,1.3133,0.03685826379748222,1.03,1.0353650557620817,3.1579905453571664,18.15196676305542,0.27,0.4333,0.013973462217388604,0.3433,0.3432211895910781,0.6279427249227801,8.571040666906203,0.2733,0.4533,0.0162265697904449,0.3633,0.3657,0.05127340097485093,6.062443579897417,25.63,35.9,1.0722304531177147,33.22,33.16115241635688,-1.445405045070519,8.51629422168586,20.81,38.16,1.4451716461875592,35.46,35.34074349442379,-4.102661951107363,37.37094718617773,0.6367,0.9433,0.029992741067275338,0.6867,0.6920940520446097,3.3199737963002947,20.69879142719936,0.6167,1.04,0.03451611215476007,0.6667,0.6696669144981413,5.534401459666243,50.5391948162804,64.1,74.37,1.0722304531177147,66.78,66.83884758364312,1.4454050450705422,8.516294221685916,61.84,79.19,1.4451716461875592,64.54,64.65925650557621,4.102661951107361,37.37094718617769,0.28,0.5533,0.02873283908704266,0.32,0.3263936802973978,3.291091284520771,18.50345583574936,27.71,41.74,1.9201160995826216,31.31,31.494609665427507,1.7964605145952972,6.547345894326424
3,21.8933,299.7633,80.5297949604771,160.1483,160.15671967213112,0.005246935466924116,-1.1938967158385634,1.0033,2.0233,0.07430400602484688,1.13,1.1433319672131146,7.464197892354434,80.66233516278152,0.84,1.63,0.05811510883720535,1.13,1.1390840163934428,2.4811560683247524,24.537878343547664,0.32,0.4967,0.01978315258127746,0.4167,0.4181987704918033,-0.08008092249434177,4.349700718785823,0.15,0.4867,0.023395523892058998,0.41835,0.4181561475409836,-6.121067729854145,69.70913054283405,23.06,47.51,1.892076748491388,36.825,36.65245901639344,-2.8459615606526927,25.454416428531893,17.86,44.89,1.878907950652963,36.9,36.73127049180328,-4.749572535351881,45.224033341585404,0.5267,1.5567,0.06954282729104945,0.7150000000000001,0.7251377049180329,7.962836821242881,86.39282310911754,0.5033,1.1433,0.04803663241247948,0.71,0.7209315573770493,3.592721331026045,28.113161272907867,52.49,76.94,1.8920767484913883,63.175,63.34754098360656,2.8459615606526922,25.454416428531893,55.11,82.14,1.8789079506529633,63.1,63.26872950819672,4.74957253535188,45.2240333415854,0.2567,1.1467,0.06598529724649747,0.2967,0.30698155737704924,9.383892053356611,109.1458080042447,23.15,56.67,2.9772076795252658,26.18,26.703114754098358,5.819218996016147,47.51717885512852
4,22.36,299.4167,80.21975157232835,159.71,160.22795577689246,0.012560595254017806,-1.1904899289594684,1.03,1.2967,0.03895890543060209,1.1033,1.1081788844621516,1.2219019175565597,2.9215378076142846,0.97,1.3133,0.04183512973566594,1.1,1.1081,1.2440837313291584,4.0854363952302215,0.3633,0.4667,0.017203535622897025,0.4133,0.4108219123505977,-0.2075042269499229,0.806099475834837,0.25,0.4867,0.02745192361129106,0.4067,0.4046501992031872,-1.4874397238996595,7.460700427412405,31.04,39.69,1.2804530373568936,37.27,37.083944223107565,-0.9830752593678757,1.810458046306139,21.8,40.24,2.1768860826265275,36.88,36.52370517928287,-2.4379821647778455,12.53137657882659,0.6367,0.8367,0.031810552279623525,0.69,0.6973585657370517,1.448083413958697,3.291984023835325,0.63,0.8967,0.037617237817732664,0.6967,0.7034529880478089,1.7365945505009428,5.896455371649369,60.31,68.96,1.2804530373568932,62.73,62.916055776892435,0.9830752593678748,1.8104580463061337,59.76,78.2,2.1768860826265275,63.12,63.476294820717136,2.437982164777837,12.531376578826567,0.2367,0.5467,0.03233344318761201,0.2867,0.292707171314741,2.858953777220878,16.734192068987937,21.45,42.16,2.4612956099748104,25.86,26.39187250996016,2.6454902773611635,12.970038999091758
5,23.0767,299.7933,80.36140081798571,161.9133,161.46815261044176,-0.004239108715488602,-1.196668552266721,1.0267,1.4033,0.04989471076373904,1.1067,1.1160116465863454,2.1362287533698785,7.74682876388486,1.0067,1.4233,0.05348277904908083,1.11,1.1162401606425703,2.4068715075439133,9.837915680586988,0.2433,0.5167,0.022719488108548944,0.41,0.40886385542168674,-0.883873542349899,14.412379776474253,0.2667,0.5167,0.024793323569845822,0.4033,0.40244176706827306,0.3316315779141689,5.996296672305876,21.86,41.78,1.547498176298893,36.78,36.64815261044176,-3.9732630348958096,34.14326173771251,26.49,40.85,1.3555052028076875,36.13,36.050000000000004,-1.576316452569677,10.119110960709834,0.64,0.8967,0.03891439212965522,0.7,0.7071461847389557,2.068308689130519,6.730534503313255,0.6433,0.9433,0.03703379269530931,0.7067,0.7138036144578314,2.6611671155062857,11.324639071466118,58.22,78.14,1.5474981762988929,63.22,63.35184738955824,3.973263034895812,34.14326173771254,59.15,73.51,1.3555052028076877,63.87,63.949999999999996,1.5763164525696778,10.119110960709845,0.2533,0.6033,0.03244784471479692,0.3,0.3047124497991968,4.131633470335186,30.65272910515322,22.65,54.19,2.3648838666647554,27.03,27.283654618473896,6.249889532416565,66.37402359872452
6,23.5167,299.2533,80.02734313230899,163.50835,162.49110858585857,-0.019047957230898364,-1.198328004932236,1.3167,1.8567,0.06993487839644602,1.3867,1.4000828282828284,3.326274517924909,16.221162616203657,1.3133,1.95,0.07105310460889719,1.3867,1.4006055555555557,3.7186770468493053,22.031551598106184,0.4633,0.8233,0.036513159319156885,0.5,0.5066161616161616,5.365082441184013,40.30253364342898,0.4333,0.6833,0.025676270405155795,0.5,0.506010101010101,2.453852625891797,12.943372517853089,32.79,44.34,1.2436058517618134,36.15,36.169090909090905,1.892183421028028,11.68947827615177,28.57,38.57,1.0652247888073378,36.17,36.14313131313131,-2.5960348231839587,15.688890488863496,0.8367,1.14,0.042969495532004236,0.8833,0.8934671717171717,2.168150535316822,7.418664958499594,0.8333,1.2833,0.0528807763871329,0.8867,0.8945939393939393,4.1430666113134675,25.800807673644055,55.66,67.21,1.2436058517618134,63.85,63.830909090909095,-1.8921834210280282,11.689478276151766,61.43,71.43,1.065224788807338,63.83,63.85686868686869,2.596034823183962,15.688890488863521,0.3367,0.49,0.025077795569815136,0.3833,0.387459090909091,1.0747239411777547,2.0527142051077707,24.06,31.86,1.2020312842546672,27.58,27.675858585858588,0.24928338871994637,0.7851233314232005
7,22.3867,299.3033,80.3799781783531,158.76335,159.4433336,0.02330774975641067,-1.1973139065415384,1.0267,1.8267,0.08284454840726223,1.0967,1.1119740000000002,5.639764546619933,40.0380320560393,1.01,1.68,0.07688892059981084,1.0967,1.1119188,4.335519292852971,22.582832497737456,0.2733,0.4933,0.02262788310503793,0.3733,0.3752916,1.0574181758132335,5.259868857005012,0.2867,0.5333,0.0273949857458635,0.39,0.39217359999999996,1.738131648218517,8.13069659663458,23.23,38.95,1.8817918061269228,33.94,33.8216,-1.406358307348385,6.7939199013906695,25.29,38.69,1.6618483269683157,35.66,35.301759999999994,-1.6953727130477618,6.189022208883285,0.66,1.3833,0.07272501544507189,0.7267,0.7366800000000001,5.703671419364631,41.72754216190817,0.6567,1.18,0.059673549771480136,0.7067,0.7197472,4.335220710846655,23.796787153050897,61.05,76.77,1.881791806126923,66.06,66.17840000000001,1.4063583073483734,6.793919901390645,61.31,74.71,1.661848326968315,64.34,64.69824,1.695372713047773,6.1890222088833085,0.2733,0.8833,0.05673225895612707,0.3367,0.3445084,5.744792444802462,45.17066138120611,25.78,48.36,2.568842277014435,30.7,30.86328,2.102204803761201,10.877583392883956
8,21.7667,299.3333,80.67786203937288,161.93,161.2835,-0.018538441138979515,-1.2010511197597875,1.0733,2.66,0.10962580761399549,1.14,1.156582572614108,11.075744526882863,145.85077778696018,1.0833,1.5167,0.052991974130695736,1.14,1.1513966804979252,3.7613594082899953,19.87006290019048,0.38,0.55,0.02245199088135956,0.4467,0.44832697095435686,1.1703857677862297,4.112179364364411,0.19,0.5667,0.02873682311540807,0.44,0.43760622406639005,-2.939147240775931,30.58360841289769,20.68,42.15,1.8385016572488524,39.11,38.88170124481328,-5.838122594658807,50.16704659265916,12.53,43.59,2.3570178811030598,38.26,38.05775933609958,-7.495680593758623,72.34954282396191,0.66,2.11,0.0997508809519573,0.6933,0.708253112033195,11.971290142592686,161.54271035128104,0.6633,1.3267,0.057002099925527114,0.7033,0.7137921161825727,7.0366754107647385,62.642633600563116,57.85,79.32,1.8385016572488522,60.89,61.11829875518673,5.838122594658794,50.167046592659034,56.41,87.47,2.3570178811030598,61.74,61.942240663900414,7.495680593758631,72.349542823962,0.2167,1.8567,0.11355632601066358,0.26,0.27065020746887963,12.185408562264787,160.90112941122635,19.01,69.8,4.255568107434358,22.59,23.090705394190874,8.670620357095613,86.79589967557754
9,22.2867,299.3,80.45493197162551,159.67,160.36784117647056,0.012347104860470463,-1.1978693750937883,0.86,1.2633,0.03291238554289921,1.09,1.0906913725490197,-0.6966130637764197,12.787306792616564,0.7633,1.2767,0.036696028945563446,1.09,1.0907443137254904,-2.18903421826143,26.8056113270713,0.1967,0.42,0.01639950058925468,0.39,0.38946509803921564,-6.6632955942627285,74.25549725243475,0.19,0.42,0.01639008740860448,0.3433,0.3415941176470588,-3.661561321445916,32.81649482733214,22.87,39.48,1.212359148247098,35.74,35.70701960784314,-4.792559215597355,48.59890691546501,23.78,33.23,1.137432222657428,31.5,31.316470588235294,-2.5096495953364504,11.853887310964554,0.5967,0.86,0.024957532693874556,0.6967,0.7012270588235294,1.163395161179629,7.553945533622359,0.5733,0.86,0.028348432215526083,0.7467,0.7491517647058824,0.11487081897888249,7.500745516044082,60.52,77.13,1.2123591482470975,64.26,64.29298039215686,4.792559215597352,48.598906915465,66.77,76.22,1.1374322226574276,68.5,68.6835294117647,2.50964959533648,11.853887310964659,0.3233,0.4767,0.02326717744132603,0.3567,0.3596317647058824,1.4602478287551781,3.4936413501168913,29.75,46.9,1.8201433562415736,32.72,32.96866666666667,2.98106096656418,17.017624772648922
10,21.7033,298.57,80.34928586739487,159.9467,159.88222284644195,0.0010193140236936123,-1.1987292890252168,0.9967,1.22,0.019836827717285708,1.04,1.040887640449438,4.277255536064161,32.5805792631925,1.0033,1.2633,0.019826207699122893,1.04,1.0407868913857676,5.582895372459399,58.3674887575018,0.3,0.4633,0.011777279478018425,0.3867,0.38800337078651687,-0.528073662818724,20.683043210348984,0.33,0.4467,0.010648705767713255,0.3867,0.3858191011235955,0.9519005165550398,11.638562210567581,29.61,39.42,0.8713148218300159,37.34,37.27599250936329,-3.227068831548598,24.10780691766919,30.56,43.79,0.9018966682387877,37.01,37.07307116104868,-0.1690063845109805,22.867752617333736,0.61,0.77,0.01521973443395246,0.65,0.6528868913857678,2.761065656152724,16.0763453543064,0.5733,0.8167,0.017213746035516446,0.6533,0.6549689138576779,3.4415071962078825,32.97069915584159,60.58,70.39,0.8713148218300155,62.66,62.724007490636694,3.2270688315486473,24.107806917669407,56.21,69.44,0.9018966682387879,62.99,62.92692883895132,0.16900638451098096,22.86775261733371,0.2033,0.3267,0.014304452305101474,0.2667,0.26706629213483146,0.6586151643238207,3.840459462212385,19.18,32.11,1.2248037441372914,25.64,25.65434456928839,0.7129730357845644,7.732930623890622
11,22.6533,298.66,80.06494788367704,159.64665,160.1953592,0.005441078838862463,-1.1986337395143731,1.05,1.5267,0.05411765143451024,1.0967,1.108438,4.405548976082275,25.145701766991007,0.9833,1.51,0.053554225470104695,1.0967,1.1081615999999999,3.836966283128935,21.155282181086214,0.1767,0.54,0.025171749081206674,0.4067,0.41125399999999995,-2.3826952434231456,32.381952225381745,0.2167,0.5867,0.029062882995878583,0.3867,0.38578920000000005,-0.2166929700273603,15.471404952043478,15.96,41.44,1.9917049833151115,37.2,37.12988,-5.95228745373295,54.705072160653785,16.46,38.85,2.2888943670019315,35.37,34.83792,-3.6654512168223867,20.603684533382328,0.6433,1.09,0.04783984445448918,0.69,0.6971887999999999,5.14469258446539,31.918368941159223,0.66,1.1,0.04910144633438525,0.71,0.722376,3.8126360292764025,19.695256212886598,58.56,84.04,1.9917049833151117,62.8,62.87012,5.952287453732954,54.705072160653856,61.15,83.54,2.2888943670019315,64.63,65.16207999999999,3.665451216822409,20.60368453338244,0.26,0.62,0.044620688286181,0.3,0.31139959999999994,3.756331217830862,17.540078237839737,23.42,56.02,3.049368865109961,27.49,28.03292,4.525251575516166,31.82048307340129
12,22.5,299.4767,80.4778224569597,161.5117,161.43363185185186,-0.007094953881909598,-1.2041452116128242,0.9433,1.1333,0.029931934037129706,1.03,1.0296570370370368,0.08045760023175164,0.5629119012441937,0.9533,1.1267,0.030028488249785962,1.03,1.0297311111111112,-0.028183916104815316,0.47687929906915194,0.3233,0.4267,0.015060349610380644,0.3767,0.37838185185185186,-0.07794294468809973,1.2936196653999108,0.2833,0.38,0.015676239567857072,0.32,0.32270333333333334,0.4317297346536944,0.8037524969066241,32.8,40.13,1.074544395286592,36.79,36.75025925925926,-0.4952308521087142,1.8268177765617368,27.81,37.38,1.3502863781593961,31.25,31.34407407407408,0.42517186066773643,1.4197224410787062,0.5867,0.7567,0.02255558179556243,0.6516500000000001,0.6512755555555556,0.08190387545477958,1.3995114090847594,0.63,0.8133,0.026463696374505404,0.7067,0.7070248148148147,0.05595779549855474,0.9892865857651261,59.87,67.2,1.0745443952865925,63.21,63.24974074074074,0.49523085210871565,1.8268177765617377,62.62,72.19,1.3502863781593963,68.75,68.65592592592591,-0.42517186066772134,1.419722441078692,0.2633,0.3967,0.021972851284799578,0.33,0.32856814814814816,-0.18422955077691264,0.5297378324822142,26.42,36.39,1.7588915516792485,31.97,31.90037037037037,-0.27355885057653445,0.39497142168555754
13,22.4867,299.1533,80.36658213393146,160.44335,160.66842423076923,0.0008100147115275244,-1.2001322755375803,1.02,1.25,0.030443701635321375,1.06165,1.0681419230769231,2.6505449025728574,9.90436539442741,1.0067,1.2433,0.030735585684247627,1.0633,1.0680634615384614,2.491359073196563,8.955757557852612,0.38,0.4367,0.010179052314882073,0.39835,0.39993538461538464,0.716273418769924,0.9192806442460344,0.3567,0.5233,0.017427756163163544,0.39,0.39321846153846157,3.0589165322923146,15.476561418884213,33.98,39.55,0.743851187170249,37.480000000000004,37.452076923076916,-0.7481467208556594,2.422885670860116,34.41,42.66,0.8895959745418129,36.83,36.807923076923075,1.5662664056721023,8.38442413034387,0.6267,0.8167,0.024256392395048613,0.6633,0.6682038461538462,2.9311007446494113,11.787635319049318,0.6333,0.7833,0.01845376840001977,0.6733,0.6748461538461538,1.436501428082678,5.244080986732396,60.45,66.02,0.7438511871702491,62.519999999999996,62.547923076923084,0.7481467208556577,2.4228856708601016,57.34,65.59,0.889595974541813,63.17,63.19207692307692,-1.5662664056720763,8.384424130343819,0.24,0.34,0.01434870174987068,0.2733,0.27498884615384617,0.840812621093967,2.1647596811309215,22.89,28.89,1.0367697737234451,25.71,25.7415,0.08727403025393728,0.21701718781173218
14,21.8733,298.71,80.40402675512236,159.9533,159.97004942528739,0.004489029974053257,-1.197475527707356,1.0033,1.3867,0.040249701421075236,1.0567,1.0648122605363985,3.929159248416559,22.846916033110507,1.0033,1.3367,0.039235472538692744,1.06,1.0648015325670497,3.3819597909958805,16.550932200049033,0.3467,0.51,0.017115325894917762,0.38,0.38028237547892724,2.9618676761060754,18.34556358605382,0.35,0.5167,0.017950574272453664,0.3867,0.38711379310344823,3.285327719305892,19.254583100827762,30.87,40.16,1.0092426317071492,35.8,35.717586206896556,-0.5319497389527269,3.754460068943385,32.04,39.11,0.9500662331294298,36.45,36.355134099616855,-0.7726507335509225,2.3576686530271385,0.64,0.9033,0.029455858541497994,0.68,0.6845329501915708,3.7918859581294617,22.56893336306487,0.64,0.82,0.02680680437284087,0.6733,0.6776888888888889,2.6364590903484597,9.971120629452846,59.84,69.13,1.009242631707149,64.2,64.28241379310344,0.5319497389527246,3.754460068943377,60.89,67.96,0.9500662331294296,63.55,63.644865900383145,0.772650733550921,2.3576686530271305,0.2633,0.43,0.019860132612195852,0.2967,0.29742183908045977,2.10318168701694,9.37337599594211,20.73,32.91,1.34350186857025,27.81,27.92463601532567,0.08780702094518207,3.4721237568772736
15,21.6633,299.0567,80.3274155551107,160.2333,160.17821781818182,-0.0008614416324921597,-1.1954468002265326,0.95,1.2767,0.03730692324618691,1.0033,1.0123512727272725,2.770509117120869,12.522109020365013,0.9433,1.28,0.03852555071460114,1.0033,1.0121807272727272,2.644027279889837,11.771606842824292,0.32,0.4267,0.016679640848812904,0.37,0.37106836363636364,0.2782105156411261,0.3098981897659798,0.32,0.5067,0.017389718110200146,0.3633,0.3645818181818182,2.3544355670561443,16.27811601931476,28.24,39.6,1.3290684126064347,36.86,36.66523636363636,-1.1119324835693407,4.994825047315376,32.75,39.58,0.978292796806768,36.01,36.018254545454546,-0.1606112662097042,0.36330727189848666,0.5933,0.85,0.03045373431359444,0.6367,0.6412854545454545,3.0536029231258244,14.59620067328298,0.6067,0.8033,0.026420037729528847,0.6433,0.6475992727272727,2.2320242582053895,8.038408305864742,60.4,71.76,1.3290684126064352,63.14,63.334763636363625,1.111932483569374,4.994825047315425,60.42,67.25,0.9782927968067677,63.99,63.981745454545454,0.16061126620970387,0.3633072718984893,0.2267,0.4167,0.021603336485657522,0.2733,0.2767036363636364,2.188436863296125,11.045575127086934,23.21,36.18,1.614137333414178,27.15,27.31970909090909,1.0179912236719446,3.7827004426371618
